PI	Soil	Sampling_Experiment	sampleID	analysis	Probenummer	Value	characteristic
Selma	Aurora	from George Jander	30	LBU	8844310	5.4	P_H2O_mg.kg
Selma	Aurora	mixed from genotypes	31	LBU	8844311	6.4	P_H2O_mg.kg
Selma	Aurora	BX+ and BX- mixed	32	LBU	8844312	5.3	P_H2O_mg.kg
Selma	Reckenholz2	fresh field soil 2019	40	LBU	8844313	5.6	P_H2O_mg.kg
Selma	Reckenholz2	fresh field soil 2019	41	LBU	8844314	4.9	P_H2O_mg.kg
Selma	Reckenholz2	fresh field soil 2019	42	LBU	8844315	5.5	P_H2O_mg.kg
Lisa	Changins1	Leftover from Selmas	10	LBU	8844304	2.1	P_H2O_mg.kg
Lisa	Changins1	unconditioned field soil	11	LBU	8844305	3.3	P_H2O_mg.kg
Lisa	Changins1	greenhouse exp. conditionging sampled (B73 and bx1 mixed)	12	LBU	8844306	4.2	P_H2O_mg.kg
Selma	Aurora	from George Jander	30	LBU	8844310	15.9	K_H2O_mg.kg
Selma	Aurora	mixed from genotypes	31	LBU	8844311	19.6	K_H2O_mg.kg
Selma	Aurora	BX+ and BX- mixed	32	LBU	8844312	16.8	K_H2O_mg.kg
Selma	Reckenholz2	fresh field soil 2019	40	LBU	8844313	24.2	K_H2O_mg.kg
Selma	Reckenholz2	fresh field soil 2019	41	LBU	8844314	21.2	K_H2O_mg.kg
Selma	Reckenholz2	fresh field soil 2019	42	LBU	8844315	23.7	K_H2O_mg.kg
Lisa	Changins1	Leftover from Selmas	10	LBU	8844304	40.4	K_H2O_mg.kg
Lisa	Changins1	unconditioned field soil	11	LBU	8844305	43.8	K_H2O_mg.kg
Lisa	Changins1	greenhouse exp. conditionging sampled (B73 and bx1 mixed)	12	LBU	8844306	50.2	K_H2O_mg.kg
Selma	Aurora	from George Jander	30	LBU	8844310	33.6	Mg_H2O_mg.kg
Selma	Aurora	mixed from genotypes	31	LBU	8844311	32.9	Mg_H2O_mg.kg
Selma	Aurora	BX+ and BX- mixed	32	LBU	8844312	30.3	Mg_H2O_mg.kg
Selma	Reckenholz2	fresh field soil 2019	40	LBU	8844313	20.1	Mg_H2O_mg.kg
Selma	Reckenholz2	fresh field soil 2019	41	LBU	8844314	20.6	Mg_H2O_mg.kg
Selma	Reckenholz2	fresh field soil 2019	42	LBU	8844315	20.7	Mg_H2O_mg.kg
Lisa	Changins1	Leftover from Selmas	10	LBU	8844304	14.5	Mg_H2O_mg.kg
Lisa	Changins1	unconditioned field soil	11	LBU	8844305	13.8	Mg_H2O_mg.kg
Lisa	Changins1	greenhouse exp. conditionging sampled (B73 and bx1 mixed)	12	LBU	8844306	13.7	Mg_H2O_mg.kg
Selma	Aurora	from George Jander	30	LBU	8844310	112.7	Ca_H2O_mg.kg
Selma	Aurora	mixed from genotypes	31	LBU	8844311	115	Ca_H2O_mg.kg
Selma	Aurora	BX+ and BX- mixed	32	LBU	8844312	111.3	Ca_H2O_mg.kg
Selma	Reckenholz2	fresh field soil 2019	40	LBU	8844313	103.5	Ca_H2O_mg.kg
Selma	Reckenholz2	fresh field soil 2019	41	LBU	8844314	106.2	Ca_H2O_mg.kg
Selma	Reckenholz2	fresh field soil 2019	42	LBU	8844315	93.5	Ca_H2O_mg.kg
Lisa	Changins1	Leftover from Selmas	10	LBU	8844304	362.9	Ca_H2O_mg.kg
Lisa	Changins1	unconditioned field soil	11	LBU	8844305	349.8	Ca_H2O_mg.kg
Lisa	Changins1	greenhouse exp. conditionging sampled (B73 and bx1 mixed)	12	LBU	8844306	327.5	Ca_H2O_mg.kg
Selma	Aurora	from George Jander	30	LBU	8844310	41.5	N_H2O_mg.kg
Selma	Aurora	mixed from genotypes	31	LBU	8844311	33.2	N_H2O_mg.kg
Selma	Aurora	BX+ and BX- mixed	32	LBU	8844312	30.1	N_H2O_mg.kg
Selma	Reckenholz2	fresh field soil 2019	40	LBU	8844313	20.9	N_H2O_mg.kg
Selma	Reckenholz2	fresh field soil 2019	41	LBU	8844314	20.1	N_H2O_mg.kg
Selma	Reckenholz2	fresh field soil 2019	42	LBU	8844315	17.7	N_H2O_mg.kg
Lisa	Changins1	Leftover from Selmas	10	LBU	8844304	151.9	N_H2O_mg.kg
Lisa	Changins1	unconditioned field soil	11	LBU	8844305	149.8	N_H2O_mg.kg
Lisa	Changins1	greenhouse exp. conditionging sampled (B73 and bx1 mixed)	12	LBU	8844306	135	N_H2O_mg.kg
Selma	Aurora	from George Jander	30	LBU	8844310	9.33	NH4_H2O_mg.kg
Selma	Aurora	mixed from genotypes	31	LBU	8844311	12.16	NH4_H2O_mg.kg
Selma	Aurora	BX+ and BX- mixed	32	LBU	8844312	8.66	NH4_H2O_mg.kg
Selma	Reckenholz2	fresh field soil 2019	40	LBU	8844313	10.73	NH4_H2O_mg.kg
Selma	Reckenholz2	fresh field soil 2019	41	LBU	8844314	10.06	NH4_H2O_mg.kg
Selma	Reckenholz2	fresh field soil 2019	42	LBU	8844315	10.9	NH4_H2O_mg.kg
Lisa	Changins1	Leftover from Selmas	10	LBU	8844304	7.65	NH4_H2O_mg.kg
Lisa	Changins1	unconditioned field soil	11	LBU	8844305	8.99	NH4_H2O_mg.kg
Lisa	Changins1	greenhouse exp. conditionging sampled (B73 and bx1 mixed)	12	LBU	8844306	10.82	NH4_H2O_mg.kg
Selma	Aurora	from George Jander	30	LBU	8844310	2.542	Na_H2O_mg.kg
Selma	Aurora	mixed from genotypes	31	LBU	8844311	2.844	Na_H2O_mg.kg
Selma	Aurora	BX+ and BX- mixed	32	LBU	8844312	3.069	Na_H2O_mg.kg
Selma	Reckenholz2	fresh field soil 2019	40	LBU	8844313	8.128	Na_H2O_mg.kg
Selma	Reckenholz2	fresh field soil 2019	41	LBU	8844314	2.659	Na_H2O_mg.kg
Selma	Reckenholz2	fresh field soil 2019	42	LBU	8844315	2.629	Na_H2O_mg.kg
Lisa	Changins1	Leftover from Selmas	10	LBU	8844304	8.377	Na_H2O_mg.kg
Lisa	Changins1	unconditioned field soil	11	LBU	8844305	9.091	Na_H2O_mg.kg
Lisa	Changins1	greenhouse exp. conditionging sampled (B73 and bx1 mixed)	12	LBU	8844306	7.942	Na_H2O_mg.kg
Selma	Aurora	from George Jander	30	LBU	8844310	13.69	Fe_H2O_mg.kg
Selma	Aurora	mixed from genotypes	31	LBU	8844311	15.93	Fe_H2O_mg.kg
Selma	Aurora	BX+ and BX- mixed	32	LBU	8844312	15.02	Fe_H2O_mg.kg
Selma	Reckenholz2	fresh field soil 2019	40	LBU	8844313	9.375	Fe_H2O_mg.kg
Selma	Reckenholz2	fresh field soil 2019	41	LBU	8844314	8.947	Fe_H2O_mg.kg
Selma	Reckenholz2	fresh field soil 2019	42	LBU	8844315	11.33	Fe_H2O_mg.kg
